task_id,graph_family,cost,score,valid_train,valid_arcgen_sample,model_sha256,compressed_size,uncompressed_size
097,typed tail and graph surgery,18022,15.200651487205,True,True,b681530eb190e338c313ebd71dcdaa3ef344ec090a5c26bc5af12a39797e868a,429,1021
098,compact artifact selection,910,18.186555400489,True,True,8fff41bf99869a80261fa1ec8461431ffa90e7a616d10c1582642af88b241cde,3202,3836
099,compact artifact selection,3510,16.836628683540,True,True,ce9e4ecd05a85d91b8d6467e1fa5ec2fc7620ac8b7598676682d73f9035331af,3957,14222
100,compact artifact selection,6536,16.214919363460,True,True,dceade053a44b3cc0ee481a2b109060da44f7e12dc34d583c301f1c9d6f84691,1157,4954
101,typed tail and graph surgery,90667,13.585051266926,True,True,512d5003f027e80806e00413716155174141986a328036bdc6eb65dcfd735e60,3602,29187
102,compact artifact selection,11239,15.672854848482,True,True,94844b54bbd57cdd263d5fda119525edfd8d949d01cec53231dc666bcb6f963b,1237,4821
103,compact artifact selection,189,19.758252984940,True,True,9722c21b3621d92154f23532be414b91120daed945bba068ec0733d337d113ee,510,927
104,compact artifact selection,2535,17.162051083975,True,True,bc36f5f3a73ce946fecdc6cc78de5066ae9359c87758a6eda15c7556a96bee84,795,3279
105,compact artifact selection,7055,16.138508135713,True,True,c98b3f63a51b63155aeb92f922cbf3f241f84285f5f1705a033e4773d25b47ea,1814,8053
106,compact artifact selection,1164,17.940382371709,True,True,9b54191da37371effdb80aaca05a4cddbabc19d25cbc1ebceae1d85a897c6698,834,2939
107,compact artifact selection,62211,13.961712888034,True,True,37276e5b51bfc1969a1be4234a5f0195d4822bde4cc1c07e7a40a55e5bad30c6,1421,30390
108,compact artifact selection,1800,17.504458056116,True,True,825c078fdd5cf248ddfcf1d91c57c125e6e2213304022e67810f2d3aaee2922c,337,7454
109,compact artifact selection,24739,14.883863775242,True,True,02f93173d2937d52c8f85f613caa399bd94f40b609a7006c464cf6c30ca31574,1198,3729
110,compact artifact selection,53838,14.106265183474,True,True,efbc4d3c38a2691bf8b6bf3d0c3d102deab1177b7792d4cff7e3e38ca77f6a40,1493,7585
111,compact artifact selection,789,18.329233679154,True,True,f805dcbfb5b46c2487a55f78272eefe72a4d1d438276ad1976d2fcde48831477,555,1453
112,compact artifact selection,59148,14.012201943507,True,True,08e4d4c2542e10980282b867f145ca19f01a3f62b892638d29d71ad576767545,1011,2608
113,compact artifact selection,30,21.598802618338,True,True,356a5f1e2200cf2560f6c836ce7d21eca6b6cad9e68015c2ae31639613ef9b09,180,499
114,typed tail and graph surgery,1249,17.869901489874,True,True,aed6f07e711d7d6a4c6973c45628350a61c075e8b06430cca4ea0231c2a89643,1119,4671
115,typed tail and graph surgery,4119,16.676634305564,True,True,31000be51fa693d43fec7d0ab26ab9209ccae70089192d2d90c6d557322e6518,1360,5064
116,compact artifact selection,30,21.598802618338,True,True,3f87aab73b8c538752ffb070a34dd07ef95ccba2d299bd7526da67fcf956e1e5,166,479
