task_id,source,template_name,route,cost,local_points,file_bytes,status,reason,sha256
74,massimilianoghiotto_6254,,sparse_edit_or_object_completion,21825,15.009188619292196,2292,baseline,base exp_b025,25d3b285a926e549241f2854dbebc1dc72ac0dd2eed66f4ee02c3ccd86a874f2
75,massimilianoghiotto_6254,,sparse_edit_or_object_completion,28487,14.742796878157792,6113,baseline,base exp_b025,7c8eeab898c18bb09b9f0fbe945b168c16cdcf15eeafcc57cf870656067b714a
76,needless090_4250_output,,sparse_edit_or_object_completion,36184,14.503627688842322,22903,baseline,base exp_b025,566e596cf1139d63d90af87b6fbfab7f53789d7bb94666ed4988bb8a09dfcec7
77,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,157494,13.032857358715912,8977,baseline,base exp_b025,439abb5d30b469bc3cc751792ae11a00f0149ace66a7e199712c21566638c085
78,massimilianoghiotto_6254,,sparse_edit_or_object_completion,11496,15.65024557224114,2275,baseline,base exp_b025,37550dea4025b51a47612bc0f98d6d0cbadf3008f213592ea68f40e30569248c
79,massimilianoghiotto_6254,,crop_or_resize,21383,15.029648507210364,3601,baseline,base exp_b025,21ba5d47343d2a4bc1aa79beb8d03c3b481b40961c62c390433ae46015d73a10
80,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,same_shape_global_transform,42055,14.353266435603462,11714,baseline,base exp_b025,2e35bce5d9b41ed02cc656d5218bb78000740443a6f653b3cb4b57881a7ae88f
81,massimilianoghiotto_6254,,sparse_edit_or_object_completion,2307,17.256296741826247,5225,baseline,base exp_b025,17d3e0785d4fc44e8b80baaf991c35275e24c4c844bf1170dd6c6e6725f6294b
82,massimilianoghiotto_6254,,sparse_edit_or_object_completion,23479,14.936138316402742,2070,baseline,base exp_b025,8b735363a493c8b5417626fb1f115593350b270e55a7427a3c579829f68d9e44
83,massimilianoghiotto_6254,,crop_or_resize,1800,17.504458056115745,7476,baseline,base exp_b025,0e51c90a17c888d894ae9a0632a22ad6d06b14cdf2b5ab371ab23ae7a1a869e6
84,massimilianoghiotto_6254,,sparse_edit_or_object_completion,19513,15.121163810905001,3361,baseline,base exp_b025,a872b27bdeef5d9c889ff953047c00712561aeb12e881fb8bfa2b0e18718654b
