exp_id,task_id,template_name,pattern,status,validation_status,baseline_cost,candidate_cost,cost_ratio,point_delta,reason,decision
exp016_top100_rewrite_campaign,286,neighbor_fill_square_9_1,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_9_2,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_9_3,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_9_4,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_9_5,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_9_6,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_9_7,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,286,neighbor_fill_square_9_8,other_template_candidate,skipped,not_run,110902,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,constant_sparse_output,other_template_candidate,skipped,not_run,105313,,,,non-constant output,inspect_manually
exp016_top100_rewrite_campaign,187,global_transform_color_map,small_color_or_global_transform_candidate,skipped,not_run,105313,,,,variable shapes,allow_when_validation_and_cost_pass
exp016_top100_rewrite_campaign,187,signature_scatternd_lookup,memorized_signature_scatternd,no_cost_gain,24_pass_0_fail,105313,202108,1.919117,-0.651865,candidate cost is not lower than baseline,allow_only_as_local_upper_bound_or_if_compressed
exp016_top100_rewrite_campaign,187,direct_identity,identity_sentinel,skipped,not_run,105313,,,,not identity,inspect_manually
exp016_top100_rewrite_campaign,187,conv_color_map,small_color_or_global_transform_candidate,skipped,not_run,105313,,,,conflicting color map,allow_when_validation_and_cost_pass
exp016_top100_rewrite_campaign,187,fixed_mask_where,other_template_candidate,skipped,not_run,105313,,,,fixed edit conflict,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_hline_2_1,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_hline_2_2,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_vline_2_1,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_vline_2_2,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_cross_2_1,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_cross_2_2,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_cross_2_3,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_cross_2_4,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_2_1,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_2_2,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_2_3,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_2_4,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_2_5,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_2_6,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_2_7,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_2_8,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_hline_3_1,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_hline_3_2,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_vline_3_1,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_vline_3_2,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_cross_3_1,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_cross_3_2,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_cross_3_3,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_cross_3_4,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_3_1,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_3_2,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_3_3,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_3_4,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_3_5,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_3_6,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_3_7,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,187,neighbor_fill_square_3_8,other_template_candidate,skipped,not_run,105313,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,constant_sparse_output,other_template_candidate,skipped,not_run,103821,,,,non-constant output,inspect_manually
exp016_top100_rewrite_campaign,198,global_transform_color_map,small_color_or_global_transform_candidate,skipped,not_run,103821,,,,variable shapes,allow_when_validation_and_cost_pass
exp016_top100_rewrite_campaign,198,signature_scatternd_lookup,memorized_signature_scatternd,skipped,not_run,103821,,,,too many edits: 1294,allow_only_as_local_upper_bound_or_if_compressed
exp016_top100_rewrite_campaign,198,direct_identity,identity_sentinel,skipped,not_run,103821,,,,not identity,inspect_manually
exp016_top100_rewrite_campaign,198,conv_color_map,small_color_or_global_transform_candidate,skipped,not_run,103821,,,,conflicting color map,allow_when_validation_and_cost_pass
exp016_top100_rewrite_campaign,198,fixed_mask_where,other_template_candidate,skipped,not_run,103821,,,,fixed edit conflict,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_hline_3_1,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_hline_3_2,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_vline_3_1,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_vline_3_2,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_cross_3_1,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_cross_3_2,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_cross_3_3,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_cross_3_4,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_square_3_1,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_square_3_2,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_square_3_3,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_square_3_4,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_square_3_5,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_square_3_6,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_square_3_7,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_square_3_8,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_hline_4_1,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_hline_4_2,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_vline_4_1,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_vline_4_2,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
exp016_top100_rewrite_campaign,198,neighbor_fill_cross_4_1,other_template_candidate,skipped,not_run,103821,,,,rule does not fit,inspect_manually
