task_id,cost,local_points,initializer_count,initializer_params,unused_count,unused_params,duplicate_groups,duplicate_wasted_params,uniform_safe_count,uniform_safe_saveable_params,total_seddik_style_saveable,primary_category,transformations,cost_gap_to_600,cost_gap_to_250
232,29497,14.707956157758622,14,69,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Color Mapping | Line Extrapolation,3.8951141870252304,4.7705829243791325
132,29458,14.709279200950512,16,64,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Filling Regions,3.89379114383334,4.769259881187242
57,29304,14.71452069554135,6,20,0,0,0,0,0,0,0,Pattern_Recognition,Cropping | Object Detection | Color Mapping | Filling Regions,3.8885496492425027,4.764018386596405
271,28991,14.725259284025897,10,63,0,0,0,0,0,0,0,Pattern_Recognition,Cropping | Object Detection | Filling Regions,3.8778110607579546,4.753279798111857
343,28656,14.736881875699506,15,368,0,0,0,0,0,0,0,Spatial_and_Geometric,Tiling,3.8661884690843458,4.741657206438248
75,28487,14.742796878157792,30,57,0,0,0,0,0,0,0,Spatial_and_Geometric,Translation | Tiling | Object Detection,3.86027346662606,4.735742203979962
240,27847,14.765519480374964,11,13735,0,0,0,0,0,0,0,Pattern_Recognition,Reflection | Symmetry Completion | Filling Regions,3.837550864408888,4.71301960176279
270,27301,14.785321389461183,23,1185,0,0,0,0,0,0,0,Object_Based,Translation | Shifting | Gravity,3.817748955322669,4.693217692676571
96,26948,14.79833563791945,12,16643,0,0,0,0,0,0,0,Pattern_Recognition,Cropping | Object Detection | Color Mapping | Symmetry Completion,3.8047347068644015,4.680203444218304
156,26552,14.81313964660019,73,1899,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Shape Matching | Color Mapping | Filling Regions,3.789930698183662,4.665399435537564
55,26370,14.820017720652668,37,994,0,0,0,0,0,0,0,Pattern_Recognition,Object Detection | Sorting | Color Mapping | Filling Regions,3.7830526241311837,4.658521361485086
279,26330,14.821535747509644,10,1186,0,0,0,0,0,0,0,Color_and_Logical,Object Detection | Color Mapping,3.7815345972742076,4.65700333462811
86,25857,14.83966336368449,19,225,0,0,0,0,0,0,0,Pattern_Recognition,Magnification | Object Detection | Color Mapping | Filling Regions,3.7634069810993616,4.638875718453264
