task_id,task_name,source,ok,sha256,points,memory,params,cost,reason
73,task073.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,e4316bf775feba0bc9dc82c0472b0b990aefde5fb40341dc51ca6d6f221e9fac,21.311120545886062,0,40,40,ok
74,task074.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,21eb5587fef3bd64b55f845386fb89c12789cef2c04b73b4ad4bdccdcc22f86b,15.864922112524365,7462,1813,9275,ok
75,task075.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,597d643e5bf0921ab6030007e6242e77feb12b000c0e392b7fe40296a9bae887,17.695484053539843,1326,161,1487,ok
76,task076.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,52d0ee3936d0f86dafa018843c15a80a7ee728fe9c72fa031082662972188395,14.820169419682085,25685,681,26366,ok
77,task077.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,7b6131e0fcf2ec7b64eec286d5eb005a59aa83dd00caf160238fdcc471297e5d,15.392629998736755,14760,114,14874,ok
78,task078.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,77e11fc3917cd26fbf1afb7e950e01085b8062e512eb928ab602925f9e47e367,17.835279621228143,1260,33,1293,ok
79,task079.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,134d794ee78ec0ef1fc4a1424e353d929a3ef6228f78d96784def4f7042c103c,16.9467488464509,3065,79,3144,ok
80,task080.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,cdb858c7cfec9b21750f4006f9cb8087eaac1e62b5205b32286a6fb741b192e2,14.60026253515027,32638,213,32851,ok
81,task081.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,38ec9f3fe8fb654ba69cc258a2f163709366d5da6aad62a98a3cec6cb57433f1,18.860115447773744,392,72,464,ok
82,task082.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,e050837db177e7d6b2e5ad5c4cd76bcf19e85a0aedf3fc265056d75870d80446,19.752975927839515,0,190,190,ok
83,task083.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,36ab0991355c46b97f51e490069283f55d4d5b2c51eeca6c9d73c2e254357cda,18.89744140538643,376,71,447,ok
84,task084.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,d7217e0bb5b86f0ff7eadc683a638b071dfccaf37f8099c59053531ef3d91aa0,17.38027578621733,1797,241,2038,ok
85,task085.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,c3c08cc90d94cf5787f5bccf0188489a5e896c42fcf8e677e754b2fc64ca4bd9,16.409370490510582,4500,881,5381,ok
86,task086.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,f16ceaa67f4174b1e862e83393105c9bf3e13b9fbfe34a2b20caa1897803f893,16.94611291638178,2956,190,3146,ok
87,task087.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,f7ba1e69db7e44ed9c83df319058fd68957d6ab94147ecd9a34d734cb1bbb711,20.500190329669735,0,90,90,ok
88,task088.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,4b3fb33cb0edb9f1a94dd71226b12073656e8298f0b43d727cfa8576c0fcad74,17.465237342962464,1791,81,1872,ok
89,task089.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,94b4fe703ddacbcb7e1a3ccdc7d87c341d14e8610b2ab420ae92b4c4cb00a0d6,16.110967428125257,7092,160,7252,ok
90,task090.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,59936a7404a2f4d621edf5385be0d1fe2e6adf027a40044837dc254648423a55,16.963426590292688,3010,82,3092,ok
91,task091.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,4ff543db4a41012d774324fb6fe39dfbe2a12613c9dcb1228b1405d0f14e733c,16.986656818613326,2846,175,3021,ok
92,task092.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,ce69854ff3c23fcbb51404c1b9b1857689985f4adf5c52fc25e888b225e73b69,16.110278200721865,7075,182,7257,ok
93,task093.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,4cd73817a0df50f5987ffd2bbe3215e480685d33076e0e8e668ca66f884baf8b,16.816044282695046,3480,103,3583,ok
94,task094.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,343928083981764d04f9066104f462f035c78dc7d08efcfacb6689f5675a6cbf,17.094189687341068,2662,51,2713,ok
95,task095.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,e3212af213f8b2799ceaa19a24ec62248dfb084bf6216535e58cb6020a2e8f7d,19.15645558296864,245,100,345,ok
96,task096.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,795ae32e2af45fdf1986baab5c0737ceabaa735064d7c594dd8348cb5594c23f,15.885950288342103,8277,805,9082,ok
97,task097.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,e11f658842029acf14bc7f02675371d143c017e0709af40a14889bf685d7340e,18.186555400489105,0,910,910,ok
98,task098.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,5aad8d8ffb260eb0c90abfb93e28e88c772f7afee8bdf4d318e99c3266a1209c,18.197605236675688,0,900,900,ok
99,task099.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,a27f5d1794e7041e79ae7db4474a3f0fe58330855ebdf614adeaea0801ed6f12,17.444618055759726,1633,278,1911,ok
100,task100.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,09dbae8ffef4535832d3ac7a24988c48e7c6b834f476b7268e61daf42bff5f26,18.664945748501943,474,90,564,ok
101,task101.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,518cbab14646069d911ca7cff808fc5b6be74d0a39463eb345cc348c6dcdb2c6,15.17188275448865,17638,910,18548,ok
102,task102.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,22ad045903cba5b5ed2617127a1ed8cf94e637ae0689f7b6253770f78bd8b7b7,17.165211892611808,2414,113,2527,ok
103,task103.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,efcd43b5ad14b6c5b1d8d0763306a9b00ea9032fb168a4813004a36e2c6b99fd,20.9056554377779,36,24,60,ok
104,task104.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,937eaaa6f714b27c62c752203b35a09120d9c2f576caff25063e8c2db005afcd,19.462665732981463,197,57,254,ok
105,task105.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,d3c597e522a4b98695ec8634df86ccce5df4c2a5b7945ad399caa97ed85054b7,16.996636941370053,2908,83,2991,ok
106,task106.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,fdacaab0df9f70641978f7db48f0bd1ad60051e6f54ec8df771c7d4896d7174c,18.23265687473461,776,93,869,ok
107,task107.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,5b32b87f6d6aef0e94a81f48e986c6ffe22cac9fa7d2411913db1cfbe2816191,16.685902664594195,2928,1153,4081,ok
108,task108.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,f568a4d536eaa040f27501308f6d2856c53b69b88b37aee9ab42afa9703da6e7,18.121673531708673,864,107,971,ok
109,task109.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,417a809c1d2a9c86f10626e0ff578fcc473ce7467dce11928146b03910a828e4,17.516193312334167,1686,93,1779,ok
110,task110.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,89b806ddbab383461a5cb5a773c353cec130d98add4e8a24f133b1da1ab24ab4,15.45970860839287,13275,634,13909,ok
111,task111.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,a5ff3fdfeb73e6f117fd31c3a9b5541451d29b5b7eb575a353ebd85deedbefa8,18.717733253103994,528,7,535,ok
112,task112.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,55f02ce8c664d6b6bf6d44a6571e6d08d3232e2053a5dfc33d340c1f6d3c1470,17.519007837130474,1616,158,1774,ok
113,task113.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,35a39bc040970b81a69fe3c95959f327893c290979f6996c8e0f71db2502258d,21.598802618337846,0,30,30,ok
114,task114.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,73a3da0a6b40bf1ac49e7095185ec632fd838bc9a57322d5876e09d66f28afbd,18.197605236675688,0,900,900,ok
115,task115.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,934563abdff36878d81ce578a85e2022d1231335e8f57c0ccd7ca83f67d3fdf8,18.050143544999226,980,63,1043,ok
116,task116.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,f57bc7cb8e24efba5c6f692737ffaca9f1be5466cd79d235b042a6f84fc9d1d8,21.598802618337846,0,30,30,ok
117,task117.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,b0fba6c4f0218137f1acb3bcf598b762a6df154a718f2064bfd47bd12daa3fe3,16.665528445399055,3922,243,4165,ok
118,task118.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,5c85b845f1d2ea0dd47285fc99bc16056862c45d8b42510954e92d2a03a2e990,14.174716894955273,45508,4768,50276,ok
119,task119.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,0c83e6d25793dd851e59bb18146fd097555c1cb25834b40cae80e0fe295337ec,17.781090292380938,1244,121,1365,ok
120,task120.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,eb3ffdb92f73a07885e28c9c854599a7a64da2ae4d978c39abe2506e11201ec2,18.186555400489105,0,910,910,ok
121,task121.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,65b95f2297ffe024717a9ab6928fafcc244a2cf54cfb0489223c125edb2740f2,19.168117522716482,275,66,341,ok
122,task122.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,9d256b458e31da4423eee2f1c90ac42204a8e573ea622c1b679c25865828eabf,18.302965752333517,0,810,810,ok
