task_id,baseline_cost,new_cost,baseline_points,new_points,baseline_bytes,new_bytes,optimizer_level,status,reason
226,5559,5559,16.37682648504653,16.37682648504653,3827,3827,none,unchanged,extended: custom domain com.microsoft.nchwc
227,2927,2927,17.018266713308115,17.018266713308115,1579,1579,none,unchanged,extended: custom domain com.microsoft.nchwc
228,25086,25086,14.86993479941538,14.86993479941538,5206,5206,none,unchanged,extended: custom domain com.microsoft.nchwc
229,1409,1409,17.74936448810132,17.74936448810132,1695,1695,none,unchanged,extended: custom domain com.microsoft.nchwc
230,900,900,18.197605236675688,18.197605236675688,3803,3803,none,unchanged,extended: custom domain com.microsoft.nchwc
231,38342,38342,14.445698819920006,14.445698819920006,3983,3983,none,unchanged,extended: custom domain com.microsoft.nchwc
232,29497,29497,14.707956157758622,14.707956157758622,2772,2772,none,unchanged,extended: custom domain com.microsoft.nchwc
233,63540,63540,13.940575092176493,13.940575092176493,40762,40762,none,unchanged,extended: custom domain com.microsoft.nchwc
234,81703,81703,13.689154000119816,13.689154000119816,4894,4894,none,unchanged,extended: custom domain com.microsoft.nchwc
235,1338,1338,17.801068759311825,17.801068759311825,3616,3616,none,unchanged,extended: custom domain com.microsoft.nchwc
236,643,643,18.53385527576238,18.53385527576238,958,958,none,unchanged,extended: custom domain com.microsoft.nchwc
237,14324,14324,15.430308268881676,15.430308268881676,2499,2499,none,unchanged,extended: custom domain com.microsoft.nchwc
238,64372,64372,13.927565965061614,13.927565965061614,15947,15947,none,unchanged,extended: custom domain com.microsoft.nchwc
239,94477,94477,13.54388830238479,13.54388830238479,3677,3677,none,unchanged,extended: custom domain com.microsoft.nchwc
240,27847,27847,14.765519480374964,14.765519480374964,66199,66199,none,unchanged,extended: custom domain com.microsoft.nchwc
241,0,0,25.0,25.0,178,178,none,unchanged,extended: custom domain com.microsoft.nchwc
242,20119,20119,15.090580078810763,15.090580078810763,2028,2028,none,unchanged,extended: custom domain com.microsoft.nchwc
243,67878,67878,13.874532744845478,13.874532744845478,18595,18595,none,unchanged,extended: custom domain com.microsoft.nchwc
244,31782,31782,14.633344629227418,14.633344629227418,8484,8484,none,unchanged,extended: custom domain com.microsoft.nchwc
245,29015,29015,14.724431783375291,14.724431783375291,3499,3499,none,unchanged,extended: custom domain com.microsoft.nchwc
246,13391,13391,15.497661881504435,15.497661881504435,4453,4453,none,unchanged,extended: custom domain com.microsoft.nchwc
