task_id,shift_status,shift_reason,dr,dc,base_cost,candidate_cost,candidate_points,validation_status,status,reason
126,skip,no fixed shift,,,86091,,,,not_run,
127,skip,no fixed shift,,,900,,,,not_run,
128,skip,no fixed shift,,,95042,,,,not_run,
129,skip,no fixed shift,,,807,,,,not_run,
130,skip,no fixed shift,,,15948,,,,not_run,
131,skip,no fixed shift,,,44550,,,,not_run,
132,skip,no fixed shift,,,29458,,,,not_run,
133,skip,no fixed shift,,,193923,,,,not_run,
134,skip,no fixed shift,,,12388,,,,not_run,
135,skip,no fixed shift,,,360,,,,not_run,
136,skip,no fixed shift,,,4837,,,,not_run,
137,skip,no fixed shift,,,72472,,,,not_run,
138,skip,no fixed shift,,,48560,,,,not_run,
139,skip,no fixed shift,,,3630,,,,not_run,
140,skip,no fixed shift,,,368,,,,not_run,
141,skip,no fixed shift,,,15819,,,,not_run,
142,skip,no fixed shift,,,1800,,,,not_run,
143,skip,no fixed shift,,,19441,,,,not_run,
144,skip,no fixed shift,,,786,,,,not_run,
145,skip,no fixed shift,,,69757,,,,not_run,
146,skip,no fixed shift,,,2256,,,,not_run,
147,skip,no fixed shift,,,910,,,,not_run,
148,skip,no fixed shift,,,22029,,,,not_run,
149,skip,no fixed shift,,,509,,,,not_run,
150,skip,no fixed shift,,,1014,,,,not_run,
151,skip,no fixed shift,,,910,,,,not_run,
152,skip,no fixed shift,,,1800,,,,not_run,
153,skip,no fixed shift,,,11212,,,,not_run,
154,skip,no fixed shift,,,45574,,,,not_run,
155,skip,no fixed shift,,,1014,,,,not_run,
156,skip,no fixed shift,,,26552,,,,not_run,
157,skip,no fixed shift,,,79930,,,,not_run,
158,skip,no fixed shift,,,182776,,,,not_run,
159,skip,no fixed shift,,,89501,,,,not_run,
160,skip,no fixed shift,,,4586,,,,not_run,
161,skip,no fixed shift,,,64647,,,,not_run,
162,skip,no fixed shift,,,63291,,,,not_run,
163,skip,no fixed shift,,,24085,,,,not_run,
164,skip,no fixed shift,,,30,,,,not_run,
165,skip,no fixed shift,,,67524,,,,not_run,
166,skip,no fixed shift,,,24789,,,,not_run,
167,skip,no fixed shift,,,685,,,,not_run,
168,skip,no fixed shift,,,20403,,,,not_run,
169,skip,no fixed shift,,,23629,,,,not_run,
170,skip,no fixed shift,,,78564,,,,not_run,
171,skip,no fixed shift,,,910,,,,not_run,
172,skip,no fixed shift,,,30,,,,not_run,
173,skip,no fixed shift,,,175243,,,,not_run,
174,skip,no fixed shift,,,52019,,,,not_run,
175,skip,no fixed shift,,,23859,,,,not_run,
176,skip,no fixed shift,,,7920,,,,not_run,
177,skip,no fixed shift,,,61194,,,,not_run,
178,skip,no fixed shift,,,29331,,,,not_run,
179,skip,no fixed shift,,,0,,,,not_run,
180,skip,no fixed shift,,,7450,,,,not_run,
181,skip,no fixed shift,,,1194,,,,not_run,
182,skip,no fixed shift,,,47625,,,,not_run,
183,skip,no fixed shift,,,24878,,,,not_run,
184,skip,no fixed shift,,,38855,,,,not_run,
185,skip,no fixed shift,,,59584,,,,not_run,
186,skip,no fixed shift,,,364,,,,not_run,
187,skip,no fixed shift,,,105313,,,,not_run,
188,skip,no fixed shift,,,10664,,,,not_run,
189,skip,no fixed shift,,,24649,,,,not_run,
