task_id,mapping_status,mapping_reason,inverse_indices,base_cost,candidate_cost,candidate_points,validation_status,status,reason
335,skip,conflict color 0: 0 vs 4 at example 0,,46249,,,,not_run,
336,skip,conflict color 0: 0 vs 8 at example 0,,6036,,,,not_run,
337,ok,ok,0 1 2 3 4 8 6 7 5 9,10,10,22.697414907005953,266_pass_0_fail,no_cost_gain,candidate cost is not lower than base manifest
338,skip,conflict color 0: 0 vs 3 at example 0,,45016,,,,not_run,
339,skip,shape mismatch example 0,,884,,,,not_run,
340,skip,conflict color 0: 0 vs 4 at example 0,,70342,,,,not_run,
341,skip,conflict color 0: 0 vs 8 at example 0,,18865,,,,not_run,
342,skip,conflict color 8: 6 vs 7 at example 0,,12153,,,,not_run,
343,skip,conflict color 0: 0 vs 2 at example 0,,28656,,,,not_run,
344,skip,conflict color 2: 0 vs 2 at example 1,,2510,,,,not_run,
345,skip,conflict color 0: 0 vs 2 at example 0,,11716,,,,not_run,
346,skip,shape mismatch example 0,,9178,,,,not_run,
347,skip,shape mismatch example 0,,1607,,,,not_run,
348,skip,conflict color 0: 8 vs 7 at example 0,,7207,,,,not_run,
349,skip,conflict color 0: 0 vs 3 at example 0,,49481,,,,not_run,
350,skip,conflict color 0: 0 vs 8 at example 0,,19831,,,,not_run,
351,skip,shape mismatch example 0,,35154,,,,not_run,
352,skip,conflict color 0: 1 vs 0 at example 0,,6626,,,,not_run,
353,skip,conflict color 0: 0 vs 3 at example 0,,5411,,,,not_run,
354,skip,conflict color 5: 6 vs 2 at example 0,,17007,,,,not_run,
355,skip,shape mismatch example 0,,11795,,,,not_run,
356,skip,conflict color 0: 0 vs 8 at example 0,,5002,,,,not_run,
357,skip,conflict color 0: 8 vs 1 at example 0,,6581,,,,not_run,
358,skip,conflict color 0: 0 vs 3 at example 0,,113999,,,,not_run,
359,skip,conflict color 8: 8 vs 2 at example 0,,42313,,,,not_run,
360,skip,shape mismatch example 0,,11146,,,,not_run,
361,skip,conflict color 0: 0 vs 4 at example 0,,15917,,,,not_run,
362,skip,conflict color 0: 0 vs 2 at example 0,,11939,,,,not_run,
363,skip,conflict color 0: 0 vs 2 at example 0,,54241,,,,not_run,
364,skip,conflict color 3: 1 vs 2 at example 0,,77859,,,,not_run,
365,skip,shape mismatch example 0,,58814,,,,not_run,
366,skip,shape mismatch example 0,,836880,,,,not_run,
367,skip,conflict color 0: 0 vs 4 at example 0,,49772,,,,not_run,
368,skip,conflict color 5: 2 vs 4 at example 0,,32339,,,,not_run,
369,skip,conflict color 0: 3 vs 1 at example 0,,7729,,,,not_run,
370,skip,conflict color 8: 8 vs 2 at example 0,,108297,,,,not_run,
371,skip,conflict color 0: 0 vs 3 at example 0,,21181,,,,not_run,
372,skip,shape mismatch example 0,,7880,,,,not_run,
373,skip,conflict color 3: 3 vs 9 at example 0,,524,,,,not_run,
374,skip,conflict color 5: 1 vs 4 at example 0,,15742,,,,not_run,
375,skip,conflict color 1: 0 vs 1 at example 0,,15172,,,,not_run,
376,skip,shape mismatch example 0,,23413,,,,not_run,
377,skip,shape mismatch example 0,,61924,,,,not_run,
378,skip,conflict color 0: 0 vs 3 at example 0,,39008,,,,not_run,
379,skip,conflict color 0: 0 vs 2 at example 0,,72499,,,,not_run,
380,skip,conflict color 9: 0 vs 9 at example 0,,728,,,,not_run,
381,skip,conflict color 0: 0 vs 9 at example 0,,3681,,,,not_run,
382,skip,conflict color 0: 0 vs 8 at example 0,,107354,,,,not_run,
383,skip,conflict color 0: 0 vs 2 at example 0,,128140,,,,not_run,
384,skip,shape mismatch example 0,,74722,,,,not_run,
385,skip,conflict color 0: 2 vs 4 at example 0,,30,,,,not_run,
386,skip,shape mismatch example 0,,2183,,,,not_run,
387,skip,conflict color 0: 0 vs 3 at example 0,,63558,,,,not_run,
388,skip,shape mismatch example 0,,6468,,,,not_run,
389,skip,conflict color 5: 4 vs 6 at example 1,,1898,,,,not_run,
390,skip,conflict color 0: 0 vs 5 at example 0,,24692,,,,not_run,
391,skip,shape mismatch example 0,,10021,,,,not_run,
392,skip,conflict color 0: 8 vs 5 at example 0,,30870,,,,not_run,
393,skip,shape mismatch example 0,,459,,,,not_run,
394,skip,shape mismatch example 0,,4753,,,,not_run,
395,skip,shape mismatch example 0,,1667,,,,not_run,
396,skip,shape mismatch example 0,,143389,,,,not_run,
397,skip,conflict color 0: 0 vs 3 at example 0,,21041,,,,not_run,
398,skip,shape mismatch example 0,,84295,,,,not_run,
399,skip,shape mismatch example 0,,1839,,,,not_run,
400,skip,shape mismatch example 0,,35153,,,,not_run,
