idx,shape,ok_valid,ok_any,match,rr_valid,cc_valid,rr_any,cc_any,rr_valid_score,rr_any_score,cc_valid_score,cc_any_score
105,27x27,True,True,True,"11,15,19,23","11,15,19,23","11,15,19,23","11,15,19,23",14,14,14,14
106,29x29,True,True,True,"2,5,8,11","14,17,20,23","2,5,8,11","14,17,20,23",12,12,12,12
107,29x29,True,True,True,"14,17,20,23","14,17,20,23","14,17,20,23","14,17,20,23",14,14,14,14
108,29x29,True,True,True,"5,8,11,14","11,14,17,20","5,8,11,14","11,14,17,20",14,14,14,14
109,29x29,True,True,True,"11,14,17,20","8,11,14,17","11,14,17,20","8,11,14,17",12,12,12,12
110,29x29,True,True,True,"8,11,14,17","2,5,8,11","8,11,14,17","2,5,8,11",10,10,10,10
111,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",12,12,12,12
112,27x27,True,True,True,"3,7,11,15","3,7,11,15","3,7,11,15","3,7,11,15",16,16,16,16
113,29x29,True,True,True,"8,11,14,17","8,11,14,17","8,11,14,17","8,11,14,17",16,16,16,16
114,27x27,True,True,True,"7,11,15,19","11,15,19,23","7,11,15,19","11,15,19,23",12,12,12,12
115,29x29,True,True,True,"4,9,14,19","4,9,14,19","4,9,14,19","4,9,14,19",14,14,14,14
116,29x29,True,True,True,"2,5,8,11","14,17,20,23","2,5,8,11","14,17,20,23",12,12,12,12
117,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",16,16,16,16
118,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",12,12,12,12
119,29x29,True,True,True,"4,9,14,19","4,9,14,19","4,9,14,19","4,9,14,19",12,12,12,12
120,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",16,16,16,16
121,27x27,True,True,True,"11,15,19,23","11,15,19,23","11,15,19,23","11,15,19,23",10,10,10,10
122,29x29,True,True,True,"4,9,14,19","4,9,14,19","4,9,14,19","4,9,14,19",16,16,16,16
123,29x29,True,True,True,"4,9,14,19","4,9,14,19","4,9,14,19","4,9,14,19",13,13,13,13
124,27x27,True,True,True,"7,11,15,19","3,7,11,15","7,11,15,19","3,7,11,15",11,11,11,11
125,27x27,True,True,True,"11,15,19,23","11,15,19,23","11,15,19,23","11,15,19,23",12,12,12,12
126,29x29,True,True,True,"8,11,14,17","11,14,17,20","8,11,14,17","11,14,17,20",14,14,14,14
127,29x29,True,True,True,"8,11,14,17","11,14,17,20","8,11,14,17","11,14,17,20",16,16,16,16
128,27x27,True,True,True,"11,15,19,23","3,7,11,15","11,15,19,23","3,7,11,15",13,13,13,13
129,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",10,10,10,10
130,27x27,True,True,True,"11,15,19,23","7,11,15,19","11,15,19,23","7,11,15,19",14,14,14,14
131,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",16,16,16,16
132,27x27,True,True,True,"3,7,11,15","7,11,15,19","3,7,11,15","7,11,15,19",15,15,15,15
133,29x29,True,True,True,"2,5,8,11","17,20,23,26","2,5,8,11","17,20,23,26",11,11,11,11
134,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",12,12,12,12
135,29x29,True,True,True,"5,8,11,14","17,20,23,26","5,8,11,14","17,20,23,26",14,14,14,14
136,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",14,14,14,14
137,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",13,13,13,13
138,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",10,10,10,10
139,27x27,True,True,True,"11,15,19,23","3,7,11,15","11,15,19,23","3,7,11,15",10,10,10,10
140,27x27,True,True,True,"11,15,19,23","7,11,15,19","11,15,19,23","7,11,15,19",14,14,14,14
141,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",12,12,12,12
