task_id,source,template_name,route,cost,points,scaled_points,train_n,test_n,arc_gen_n,total_n,input_shape_count,output_shape_count,min_input_area,max_input_area,min_output_area,max_output_area,max_input_colors,risk_score
96,kojimar_5800_minimal_blend,,crop_or_resize,26948,14.79833563791945,1480,3,1,262,266,49,3,169,361,49,121,7,1.66948
97,massimilianoghiotto_6254,,sparse_edit_or_object_completion,55812,14.070255820987903,1407,4,1,262,267,167,167,30,400,30,400,2,2.40812
98,massimilianoghiotto_6254,,sparse_edit_or_object_completion,910,18.186555400489105,1819,3,1,262,266,65,65,48,440,48,440,7,1.7091
99,massimilianoghiotto_6254,,sparse_edit_or_object_completion,4910,16.500970779211436,1650,3,1,261,265,1,1,100,100,100,100,4,0.5491
100,massimilianoghiotto_6254,,crop_or_resize,6536,16.21491936346016,1621,3,1,262,266,1,1,100,100,4,4,3,0.51536
101,franksunp_blended_best,,sparse_edit_or_object_completion,65875,13.904485714156337,1390,3,1,262,266,3,3,168,357,168,357,3,2.25875
102,massimilianoghiotto_6254,,sparse_edit_or_object_completion,12607,15.55799250576873,1556,4,1,262,267,1,1,144,144,144,144,2,0.62607
103,massimilianoghiotto_6254,,crop_or_resize,193,19.737309811095116,1974,6,2,215,223,1,1,9,9,1,1,2,0.45193
104,massimilianoghiotto_6254,,crop_or_resize,3682,16.788788638206977,1679,2,1,4,7,1,1,9,9,81,81,3,0.48682
105,massimilianoghiotto_6254,,sparse_edit_or_object_completion,7055,16.138508135713085,1614,3,1,262,266,6,6,117,182,117,182,2,1.77055
106,massimilianoghiotto_6254,,crop_or_resize,1164,17.940382371708615,1794,3,1,262,266,2,2,4,9,16,36,3,0.96164
107,massimilianoghiotto_6254,,crop_or_resize,73131,13.799992367549814,1380,3,1,262,266,1,5,25,25,100,900,7,1.93131
108,massimilianoghiotto_6254,,crop_or_resize,1800,17.504458056115745,1750,3,1,262,266,1,1,100,100,400,400,7,0.468
109,massimilianoghiotto_6254,,crop_or_resize,94878,13.539652865248629,1354,3,1,262,266,4,4,49,169,36,144,3,2.74878
110,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,same_shape_global_transform,108361,13.40677647534595,1341,3,1,262,266,1,1,841,841,841,841,8,1.23361
111,massimilianoghiotto_6254,,crop_or_resize,797,18.319145321209785,1832,3,1,261,265,1,1,100,100,9,9,3,0.45797
112,massimilianoghiotto_6254,,sparse_edit_or_object_completion,59270,14.010141445218116,1401,3,1,262,266,192,192,100,870,100,870,3,2.4427
113,massimilianoghiotto_6254,,sparse_edit_or_object_completion,30,21.598802618337846,2160,2,1,262,265,9,9,20,100,20,100,5,1.7003
114,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,crop_or_resize,1250,17.869101169703654,1787,3,1,262,266,4,4,4,9,16,25,6,1.4125
115,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,crop_or_resize,4119,16.67663430556392,1668,3,1,262,266,158,4,63,464,3,4,4,1.44119
116,massimilianoghiotto_6254,,crop_or_resize,30,21.598802618337846,2160,4,1,262,267,1,1,12,12,24,24,2,0.4503
117,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,17992,15.202317506360849,1520,3,1,261,265,4,4,144,225,144,225,3,1.62992
118,franksunp_blended_best,,sparse_edit_or_object_completion,60026,13.997466919324204,1400,4,1,262,267,97,97,70,700,70,700,3,2.20026
119,massimilianoghiotto_6254,,sparse_edit_or_object_completion,16640,15.280435285624801,1528,3,1,262,266,1,1,144,144,144,144,3,0.6664
120,massimilianoghiotto_6254,,sparse_edit_or_object_completion,910,18.186555400489105,1819,3,1,262,266,17,17,120,224,120,224,4,1.7091
121,massimilianoghiotto_6254,,crop_or_resize,6530,16.215837777729526,1622,3,1,262,266,1,1,169,169,9,9,6,0.5153
122,massimilianoghiotto_6254,,sparse_edit_or_object_completion,2510,17.17196196787417,1717,3,1,262,266,136,136,49,441,49,441,3,1.7251
123,afr1ste_5689_artifact,,crop_or_resize,4104,16.680282613149394,1668,3,1,261,265,1,1,25,25,100,100,5,0.49104
124,massimilianoghiotto_6254,,crop_or_resize,11673,15.634966238347337,1563,3,2,262,267,4,1,50,80,100,100,2,1.16673
125,massimilianoghiotto_6254,,sparse_edit_or_object_completion,13417,15.495722161409528,1550,2,1,262,265,1,1,225,225,225,225,2,0.63417
126,massimilianoghiotto_6254,,sparse_edit_or_object_completion,86091,13.636839844664504,1364,3,1,262,266,91,91,25,200,25,200,6,2.71091
127,massimilianoghiotto_6254,,sparse_edit_or_object_completion,900,18.197605236675688,1820,4,1,262,267,2,2,33,77,33,77,6,1.009
128,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,95024,13.538115229744358,1354,3,1,262,266,1,1,225,225,225,225,4,1.35024
129,afr1ste_5689_artifact,,sparse_edit_or_object_completion,807,18.306676331730053,1831,3,1,261,265,1,1,9,9,9,9,6,0.50807
130,massimilianoghiotto_6254,,crop_or_resize,15948,15.322911291498754,1532,2,1,262,265,1,1,81,81,9,9,10,0.60948
131,massimilianoghiotto_6254,,sparse_edit_or_object_completion,44550,14.295632567101045,1430,3,1,262,266,12,12,64,90,64,90,3,2.2955
132,massimilianoghiotto_6254,,sparse_edit_or_object_completion,29458,14.709279200950512,1471,4,1,262,267,93,93,36,225,36,225,3,1.99458
133,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,193921,12.824793861384533,1282,4,1,262,267,178,178,154,870,154,870,6,3.53921
134,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,crop_or_resize,12380,15.576162453761413,1558,3,1,262,266,104,1,400,900,9,9,3,0.9238
135,massimilianoghiotto_6254,,crop_or_resize,360,19.113895968549844,1911,4,1,261,266,1,1,81,81,9,9,10,0.4536
136,massimilianoghiotto_6254,,sparse_edit_or_object_completion,4837,16.515950027177016,1652,3,1,262,266,1,1,100,100,100,100,3,0.54837
137,massimilianoghiotto_6254,,same_shape_global_transform,72472,13.809044440650876,1381,3,1,262,266,11,11,400,900,400,900,2,2.32472
138,massimilianoghiotto_6254,,crop_or_resize,48467,14.211361567031112,1421,3,1,262,266,48,108,90,650,36,460,5,2.28467
139,massimilianoghiotto_6254,,sparse_edit_or_object_completion,3630,16.803012072741105,1680,2,1,262,265,1,1,81,81,81,81,2,0.5363
140,massimilianoghiotto_6254,,sparse_edit_or_object_completion,368,19.09191706183107,1909,2,1,262,265,1,1,9,9,9,9,7,0.50368
141,massimilianoghiotto_6254,,sparse_edit_or_object_completion,15819,15.33103297180142,1533,3,1,261,265,9,9,25,441,25,441,2,1.85819
142,massimilianoghiotto_6254,,crop_or_resize,1800,17.504458056115745,1750,3,1,262,266,1,1,9,9,36,36,4,0.468
143,massimilianoghiotto_6254,,sparse_edit_or_object_completion,19441,15.12486048297936,1512,3,1,262,266,1,1,100,100,100,100,8,0.69441
144,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,crop_or_resize,771,18.35231162643667,1835,4,1,262,267,1,1,36,36,16,16,4,0.20771
145,exp_b025_submit_safe_delta_union,greedy3_Mul_node61_to_input1,same_shape_global_transform,64297,13.92873174716133,1393,4,1,262,267,103,103,100,400,100,400,2,1.99297
146,massimilianoghiotto_6254,,crop_or_resize,2256,17.27865138738205,1728,4,1,262,267,1,1,27,27,9,9,6,0.47256
147,massimilianoghiotto_6254,,sparse_edit_or_object_completion,910,18.186555400489105,1819,4,1,262,267,16,16,9,36,9,36,2,1.7091
148,massimilianoghiotto_6254,,sparse_edit_or_object_completion,22029,14.99988495388028,1500,3,1,262,266,45,45,128,288,128,288,3,1.92029
149,massimilianoghiotto_6254,,crop_or_resize,437,18.92006680490441,1892,4,1,262,267,1,1,121,121,9,9,3,0.45437
150,massimilianoghiotto_6254,,sparse_edit_or_object_completion,1014,18.078341815848873,1808,3,1,262,266,7,7,9,81,9,81,4,1.71014
151,massimilianoghiotto_6254,,sparse_edit_or_object_completion,910,18.186555400489105,1819,3,1,262,266,9,9,16,144,16,144,3,1.7091
152,massimilianoghiotto_6254,,crop_or_resize,1800,17.504458056115745,1750,4,1,262,267,1,1,9,9,36,36,4,0.468
153,kojimar_5800_minimal_blend,,crop_or_resize,11212,15.675260087715321,1568,3,1,261,265,1,1,100,100,9,9,3,0.31212
154,massimilianoghiotto_6254,,sparse_edit_or_object_completion,45574,14.27290734254795,1427,3,1,262,266,1,1,225,225,225,225,3,1.10574
155,massimilianoghiotto_6254,,sparse_edit_or_object_completion,1014,18.078341815848873,1808,3,1,262,266,5,5,16,64,16,64,6,1.71014
156,massimilianoghiotto_6254,,sparse_edit_or_object_completion,26552,14.81313964660019,1481,2,1,262,265,1,1,100,100,100,100,2,0.76552
157,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,79929,13.711105980405277,1371,2,1,262,265,1,1,150,150,150,150,3,1.19929
158,kojimar_5800_minimal_blend,,sparse_edit_or_object_completion,182776,12.883983361645681,1288,3,1,262,266,33,33,210,650,210,650,4,3.42776
159,massimilianoghiotto_6254,,crop_or_resize,89501,13.597994922615115,1360,3,1,261,265,166,4,240,900,25,196,3,2.69501
160,massimilianoghiotto_6254,,sparse_edit_or_object_completion,4586,16.56923653658215,1657,2,1,262,265,1,1,100,100,100,100,2,0.54586
161,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,64639,13.923426777221719,1392,3,1,262,266,103,103,150,500,150,500,4,2.24639
162,massimilianoghiotto_6254,,sparse_edit_or_object_completion,63291,13.944501582071068,1394,3,1,262,266,1,1,400,400,400,400,2,1.28291
163,massimilianoghiotto_6254,,sparse_edit_or_object_completion,24085,14.910655480935679,1491,4,1,262,267,1,1,121,121,121,121,10,0.74085
164,massimilianoghiotto_6254,,crop_or_resize,30,21.598802618337846,2160,4,1,262,267,1,1,9,9,18,18,3,0.4503
165,massimilianoghiotto_6254,,sparse_edit_or_object_completion,67524,13.87976163077872,1388,3,1,261,265,1,1,400,400,400,400,3,1.32524
166,massimilianoghiotto_6254,,sparse_edit_or_object_completion,24789,14.881844714630706,1488,3,1,262,266,51,51,56,168,56,168,2,1.94789
167,afr1ste_5689_artifact,,sparse_edit_or_object_completion,685,18.470581161737776,1847,5,1,262,268,1,1,9,9,9,9,3,0.50685
