task_id,priority,route,strict_cost,teacher_cost,gain_to_600,gain_to_250,teacher_gain_vs_strict,example_count,same_shape_rate,sparse_edit_rate,only_background_fill_rate,only_deletion_rate,bbox_preserved_rate,changed_count_median,changed_count_min,changed_count_max,shape_pair_count,output_shape_pair_count,dominant_output_shapes,dominant_change_pairs,compiler_lane,lowering_bias,first_probe
109,P0,crop_or_resize,94878,38755,5.063417479535223,5.938886216889125,0.8953320760357588,266,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,4,4,"{""(6, 6)"": 79, ""(10, 10)"": 75, ""(8, 8)"": 58, ""(12, 12)"": 54}",{},L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
239,P0,crop_or_resize,94477,17568,5.059182042399062,5.934650779752964,1.6822773533059525,267,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,38,21,"{""(6, 3)"": 46, ""(8, 2)"": 33, ""(6, 2)"": 21, ""(8, 3)"": 21, ""(9, 2)"": 19, ""(5, 3)"": 17}",{},L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
201,P0,crop_or_resize,92700,22224,5.040194096337798,5.9156628336917,1.428195686559821,266,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,7,7,"{""(6, 8)"": 53, ""(5, 6)"": 50, ""(4, 6)"": 44, ""(6, 6)"": 44, ""(5, 8)"": 39, ""(4, 8)"": 35}",{},L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
208,P0,sparse_edit_or_object_completion,92273,10875,5.035577198104162,5.9110459354580644,2.138284997363426,266,1.0,1.0,0.0,0.0,1.0,18.0,14,24,1,1,"{""(21, 21)"": 266}","{""(1, 3)"": 119, ""(5, 7)"": 110, ""(7, 9)"": 104, ""(4, 7)"": 98, ""(8, 3)"": 95, ""(3, 9)"": 94}",L5_general_sparse_completion,Reduce/Conv masks before any ScatterND; target cost under 600 only after proof,changed-cell decision tree over color roles and local geometry
280,P0,sparse_edit_or_object_completion,90506,70515,5.016241770616773,5.891710507970675,0.2495906937065797,267,1.0,1.0,1.0,0.0,0.0,49,6,174,2,2,"{""(20, 20)"": 186, ""(10, 10)"": 81}","{""(0, 3)"": 13148, ""(0, 2)"": 2756}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
20,P0,sparse_edit_or_object_completion,90133,3931,5.012111981034998,5.8875807183889,3.132392510829284,266,1.0,1.0,1.0,0.0,1.0,3.0,3,3,1,1,"{""(10, 10)"": 266}","{""(0, 4)"": 177, ""(0, 8)"": 168, ""(0, 3)"": 153, ""(0, 1)"": 153, ""(0, 2)"": 147}",L1_static_sparse_background_fill,tiny coordinate program or one small mask; target cost 250-450,object-role/orbit/local-neighborhood fill search
159,P0,crop_or_resize,89501,48739,5.005075422168737,5.880544159522639,0.6077702674453,265,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,225,4,"{""(5, 5)"": 134, ""(8, 8)"": 83, ""(11, 11)"": 34, ""(14, 14)"": 14}",{},L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
25,P0,sparse_edit_or_object_completion,89286,10331,5.002670324441958,5.87813906179586,2.15669561680866,266,1.0,1.0,0.0,0.03759398496240601,0.12406015037593984,8.0,1,28,182,182,"{""(25, 16)"": 4, ""(20, 17)"": 4, ""(17, 23)"": 4, ""(30, 23)"": 4, ""(15, 14)"": 3, ""(17, 22)"": 3}","{""(2, 0)"": 218, ""(3, 0)"": 183, ""(9, 0)"": 173, ""(0, 2)"": 166, ""(1, 0)"": 158, ""(8, 0)"": 156}",L3_object_move_or_erase,object masks with small Gather/Slice; avoid large ScatterND,component correspondence and role-preserving copy/erase search
281,P0,sparse_edit_or_object_completion,88615,18843,4.995126767273092,5.870595504626994,1.548159651366749,266,1.0,1.0,0.0,0.0,1.0,18.0,7,48,9,9,"{""(13, 12)"": 41, ""(13, 11)"": 33, ""(12, 11)"": 31, ""(11, 13)"": 30, ""(11, 11)"": 29, ""(13, 13)"": 28}","{""(0, 3)"": 677, ""(0, 4)"": 604, ""(0, 9)"": 595, ""(0, 2)"": 584, ""(0, 1)"": 527, ""(0, 6)"": 522}",L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
126,P0,sparse_edit_or_object_completion,86091,4027,4.966230500119348,5.84169923747325,3.062383194484042,266,1.0,1.0,1.0,0.0,0.0,3.0,1,5,91,91,"{""(7, 10)"": 9, ""(8, 14)"": 7, ""(10, 17)"": 6, ""(10, 14)"": 6, ""(5, 5)"": 5, ""(7, 8)"": 5}","{""(0, 4)"": 770}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
