task_id,route,baseline_cost,node_count,initializer_count,target_op_node_count,dominant_ops,recommended_bank,priority
238,crop_or_resize,64372,102,40,37,Where:29;Mul:19;Sum:12;ReduceMax:9;Gather:8;ArgMax:4;Add:4;ReduceSum:3,crop_resize,78
37,sparse_edit_or_object_completion,63726,27,13,8,Relu:7;Conv:6;Mul:5;Slice:2;Cast:1;Sum:1;ReduceMax:1;Sub:1,sparse_object,79
387,sparse_edit_or_object_completion,63558,125,25,42,Where:34;Equal:28;Add:13;Sub:9;Greater:5;Cast:4;ReduceMax:4;Tile:4,sparse_object,80
233,crop_or_resize,63540,25,16,7,Cast:5;Gather:4;Less:3;Reshape:2;ReduceSum:1;MatMul:1;Unsqueeze:1;Equal:1,crop_resize,81
90,sparse_edit_or_object_completion,63354,246,41,30,Relu:50;Mul:46;ConvTranspose:46;Conv:28;Sum:25;ReduceMax:23;Sub:23;Cast:1,sparse_object,82
162,sparse_edit_or_object_completion,63291,19,11,8,Conv:5;Sub:3;Cast:2;Greater:2;Where:2;Mul:2;Pad:1;Slice:1,sparse_object,83
377,crop_or_resize,61924,197,13,22,Cast:28;Reshape:23;Less:22;Where:20;Not:20;ReduceMax:18;And:17;Min:13,crop_resize,84
206,sparse_edit_or_object_completion,61387,39,15,9,Where:8;Cast:4;Sub:4;Equal:3;Add:3;Greater:2;Not:2;ReduceMin:2,sparse_object,85
177,crop_or_resize,61194,33,16,7,ReduceMax:5;Where:5;Reshape:4;Sub:3;Cast:2;Greater:2;ReduceMin:2;Add:2,crop_resize,86
118,sparse_edit_or_object_completion,60026,19,10,3,Cast:4;Equal:4;Reshape:2;Unsqueeze:2;Where:2;GatherND:1;ReduceMin:1;ReduceSum:1,sparse_object,87
185,crop_or_resize,59584,242,19,32,Equal:64;And:45;Gather:23;Cast:20;Not:20;ReduceSum:19;Unsqueeze:19;Where:9,crop_resize,88
112,sparse_edit_or_object_completion,59270,44,18,10,Mul:6;Sub:6;Cast:5;Slice:5;Less:4;Max:3;Gather:3;ReduceMax:2,sparse_object,89
330,sparse_edit_or_object_completion,59024,21,12,15,Where:7;MaxPool:4;Slice:2;Greater:1;Neg:1;Cast:1;Unsqueeze:1;ScatterND:1,sparse_object,90
365,crop_or_resize,58814,234,12,27,Cast:51;Less:30;Gather:25;Add:16;Unsqueeze:14;ReduceMax:12;Squeeze:11;ReduceSum:11,crop_resize,91
222,crop_or_resize,58035,21,11,4,Cast:3;Greater:3;ReduceSum:3;Mul:3;Conv:2;Sum:2;Slice:1;ReduceMax:1,crop_resize,92
221,crop_or_resize,55869,28,26,13,Where:10;Equal:5;Slice:3;Cast:3;ReduceSum:2;Sum:2;ConvTranspose:1;Sub:1,crop_resize,93
97,sparse_edit_or_object_completion,55812,14,1,3,Cast:4;Sub:2;Greater:2;ReduceSum:1;Slice:1;Conv:1;Constant:1;Concat:1,sparse_object,94
33,sparse_edit_or_object_completion,55161,16,6,6,Gather:5;Cast:3;Mul:2;ReduceSum:1;Pad:1;Sub:1;ReduceMax:1;Greater:1,sparse_object,95
4,sparse_edit_or_object_completion,55020,4,4,2,Conv:2;Cast:1;Relu:1,sparse_object,96
363,sparse_edit_or_object_completion,54241,26,18,5,Concat:4;Slice:3;Sub:3;Mul:3;MatMul:2;Div:2;Floor:2;Flatten:1,sparse_object,97
193,sparse_edit_or_object_completion,53661,14,12,7,Conv:4;Cast:2;Greater:2;Where:2;Slice:1;Mul:1;Sum:1;Pad:1,sparse_object,98
174,crop_or_resize,52019,790,24,155,Gather:100;Sub:74;Mul:73;Less:64;Unsqueeze:54;Where:54;Cast:46;Equal:45,crop_resize,99
192,sparse_edit_or_object_completion,51968,17,10,2,Cast:5;ReduceSum:2;Greater:2;Conv:1;ConvTranspose:1;Slice:1;ArgMax:1;Equal:1,sparse_object,100
