task_id,source,baseline_cost,new_cost,baseline_points,new_points,removed_initializers,baseline_file_bytes,new_file_bytes,status,reason
202,massimilianoghiotto_6254,125720,125720,13.258187509088495,13.258187509088495,0,3680,3680,unchanged,no unused initializers
203,massimilianoghiotto_6254,88402,88402,13.610350127195805,13.610350127195805,0,7171,7171,unchanged,no unused initializers
204,kojimar_5800_minimal_blend,104544,104544,13.442636685599203,13.442636685599203,0,5559,5559,unchanged,no unused initializers
205,massimilianoghiotto_6254,112313,112313,13.370955104619776,13.370955104619776,0,39030,39030,unchanged,no unused initializers
206,massimilianoghiotto_6254,61387,61387,13.975046634666326,13.975046634666326,0,4900,4900,unchanged,no unused initializers
207,massimilianoghiotto_6254,1875,1875,17.463636061595487,17.463636061595487,0,2718,2718,unchanged,no unused initializers
208,afr1ste_5689_artifact,92273,92273,13.56749314667969,13.56749314667969,0,18209,18209,unchanged,no unused initializers
209,kojimar_5800_minimal_blend,67337,67337,13.882534858321867,13.882534858321867,0,61236,61236,unchanged,no unused initializers
210,massimilianoghiotto_6254,30,30,21.598802618337846,21.598802618337846,0,503,503,unchanged,no unused initializers
211,massimilianoghiotto_6254,1800,1800,17.504458056115745,17.504458056115745,0,7476,7476,unchanged,no unused initializers
212,afr1ste_5689_artifact,9969,9969,15.792764442977296,15.792764442977296,0,4967,4967,unchanged,no unused initializers
213,massimilianoghiotto_6254,50225,50225,14.175731810316865,14.175731810316865,0,44339,44339,unchanged,no unused initializers
214,massimilianoghiotto_6254,1800,1800,17.504458056115745,17.504458056115745,0,7476,7476,unchanged,no unused initializers
215,massimilianoghiotto_6254,38094,38094,14.452187931601495,14.452187931601495,0,1952,1952,unchanged,no unused initializers
216,afr1ste_5689_artifact,103572,103572,13.451977697992342,13.451977697992342,0,19717,19717,unchanged,no unused initializers
217,massimilianoghiotto_6254,17924,17924,15.206104124093967,15.206104124093967,0,1684,1684,unchanged,no unused initializers
218,massimilianoghiotto_6254,23202,23202,14.948006239164648,14.948006239164648,0,16279,16279,unchanged,no unused initializers
219,kojimar_5800_minimal_blend,47688,47688,14.227564927100238,14.227564927100238,0,60615,60615,unchanged,no unused initializers
220,massimilianoghiotto_6254,900,900,18.197605236675688,18.197605236675688,0,3803,3803,unchanged,no unused initializers
221,massimilianoghiotto_6254,55869,55869,14.069235056400384,14.069235056400384,0,14298,14298,unchanged,no unused initializers
222,massimilianoghiotto_6254,58035,58035,14.031198444197276,14.031198444197276,0,3044,3044,unchanged,no unused initializers
223,massimilianoghiotto_6254,1800,1800,17.504458056115745,17.504458056115745,0,7476,7476,unchanged,no unused initializers
224,afr1ste_5689_artifact,45458,45458,14.275455898281896,14.275455898281896,0,5184,5184,unchanged,no unused initializers
225,massimilianoghiotto_6254,11078,11078,15.68728356140695,15.68728356140695,0,6961,6961,unchanged,no unused initializers
226,massimilianoghiotto_6254,5559,5559,16.37682648504653,16.37682648504653,0,3827,3827,unchanged,no unused initializers
227,massimilianoghiotto_6254,2927,2927,17.018266713308115,17.018266713308115,0,1579,1579,unchanged,no unused initializers
228,massimilianoghiotto_6254,25086,25086,14.86993479941538,14.86993479941538,0,5206,5206,unchanged,no unused initializers
