task_id,template_name,route,baseline_cost,candidate_cost,baseline_points,candidate_points,file_bytes,validation_status,status,reason,sha256
110,fixed_geometry_rot180,sparse_edit_or_object_completion,109201,,13.399054500239831,,,not_run,skipped,transform does not fit,
110,fixed_geometry_rot270,sparse_edit_or_object_completion,109201,,13.399054500239831,,,not_run,skipped,transform does not fit,
110,signature_scatter_lookup,sparse_edit_or_object_completion,109201,87213,13.399054500239831,13.623891318645823,42571,24_pass_0_fail,improved,ok,73f6ed73b0fb715b272186057a704e6cc5f6c7224b64c938babf1879b8e8d6a9
110,fixed_mask_rewrite,sparse_edit_or_object_completion,109201,,13.399054500239831,,,not_run,skipped,changed cell color conflict,
110,conv_color_map,sparse_edit_or_object_completion,109201,,13.399054500239831,,,not_run,skipped,conflicting color map,
110,constant_output,sparse_edit_or_object_completion,109201,,13.399054500239831,,,not_run,skipped,fit outputs differ,
370,fixed_geometry_identity,sparse_edit_or_object_completion,108296,,13.407376502134378,,,not_run,skipped,transform does not fit,
370,fixed_geometry_flip_h,sparse_edit_or_object_completion,108296,,13.407376502134378,,,not_run,skipped,transform does not fit,
370,fixed_geometry_flip_w,sparse_edit_or_object_completion,108296,,13.407376502134378,,,not_run,skipped,transform does not fit,
370,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,108296,,13.407376502134378,,,not_run,skipped,transform does not fit,
